Year,Sex,Overall Position,Finish Time (min)
2022,Male,1.0,48.217
2022,Male,3.0,48.383
2022,Male,4.0,48.867
2022,Male,5.0,48.883
2022,Male,6.0,48.917
2022,Male,8.0,49.683
2022,Male,9.0,50.683
2022,Male,10.0,50.717
2022,Male,12.0,51.483
2022,Male,13.0,51.917
2022,Male,14.0,52.083
2022,Male,16.0,52.433
2022,Male,17.0,52.45
2022,Male,18.0,52.5
2022,Male,19.0,52.517
2022,Male,19.0,52.517
2022,Male,21.0,52.633
2022,Male,22.0,52.717
2022,Male,23.0,52.867
2022,Male,26.0,52.95
2022,Male,27.0,53.117
2022,Male,28.0,53.133
2022,Male,29.0,53.183
2022,Male,31.0,53.317
2022,Male,32.0,53.55
2022,Male,33.0,53.633
2022,Male,34.0,53.883
2022,Male,35.0,54.083
2022,Male,36.0,54.4
2022,Male,39.0,54.5
2022,Male,40.0,54.533
2022,Male,41.0,54.667
2022,Male,42.0,54.833
2022,Male,44.0,54.883
2022,Male,45.0,54.9
2022,Male,46.0,54.917
2022,Male,47.0,54.967
2022,Male,48.0,55.1
2022,Male,50.0,55.25
2022,Male,51.0,55.367
2022,Male,53.0,55.4
2022,Male,55.0,55.583
2022,Male,56.0,55.6
2022,Male,57.0,55.667
2022,Male,58.0,55.8
2022,Male,59.0,55.817
2022,Male,60.0,55.917
2022,Male,61.0,55.933
2022,Male,64.0,56.533
2022,Male,65.0,56.55
2022,Male,66.0,56.667
2022,Male,68.0,56.867
2022,Male,70.0,56.883
2022,Male,71.0,57.05
2022,Male,72.0,57.15
2022,Male,73.0,57.183
2022,Male,74.0,57.267
2022,Male,75.0,57.35
2022,Male,76.0,57.367
2022,Male,77.0,57.417
2022,Male,78.0,57.433
2022,Male,79.0,57.467
2022,Male,80.0,57.6
2022,Male,81.0,57.683
2022,Male,82.0,57.717
2022,Male,82.0,57.717
2022,Male,84.0,57.883
2022,Male,85.0,57.917
2022,Male,87.0,58.033
2022,Male,88.0,58.067
2022,Male,89.0,58.2
2022,Male,90.0,58.233
2022,Male,91.0,58.25
2022,Male,92.0,58.317
2022,Male,94.0,58.483
2022,Male,95.0,58.5
2022,Male,96.0,58.55
2022,Male,98.0,58.817
2022,Male,99.0,58.833
2022,Male,100.0,58.85
2022,Male,101.0,58.867
2022,Male,102.0,58.883
2022,Male,103.0,58.9
2022,Male,105.0,58.983
2022,Male,106.0,59.0
2022,Male,106.0,59.0
2022,Male,108.0,59.067
2022,Male,109.0,59.133
2022,Male,110.0,59.183
2022,Male,111.0,59.25
2022,Male,112.0,59.35
2022,Male,112.0,59.35
2022,Male,115.0,59.383
2022,Male,116.0,59.45
2022,Male,116.0,59.45
2022,Male,118.0,59.517
2022,Male,119.0,59.533
2022,Male,120.0,59.55
2022,Male,121.0,59.567
2022,Male,122.0,59.633
2022,Male,123.0,59.65
2022,Male,123.0,59.65
2022,Male,125.0,59.667
2022,Male,125.0,59.667
2022,Male,127.0,59.7
2022,Male,128.0,59.733
2022,Male,129.0,59.833
2022,Male,130.0,59.967
2022,Male,131.0,60.1
2022,Male,132.0,60.133
2022,Male,134.0,60.167
2022,Male,136.0,60.217
2022,Male,137.0,60.333
2022,Male,138.0,60.35
2022,Male,138.0,60.35
2022,Male,140.0,60.367
2022,Male,141.0,60.383
2022,Male,143.0,60.433
2022,Male,146.0,60.6
2022,Male,148.0,60.767
2022,Male,148.0,60.767
2022,Male,150.0,60.783
2022,Male,152.0,60.817
2022,Male,153.0,60.833
2022,Male,154.0,60.917
2022,Male,155.0,60.933
2022,Male,155.0,60.933
2022,Male,157.0,61.017
2022,Male,159.0,61.1
2022,Male,161.0,61.133
2022,Male,162.0,61.183
2022,Male,163.0,61.217
2022,Male,164.0,61.3
2022,Male,165.0,61.317
2022,Male,167.0,61.433
2022,Male,168.0,61.533
2022,Male,169.0,61.567
2022,Male,170.0,61.583
2022,Male,171.0,61.617
2022,Male,172.0,61.667
2022,Male,173.0,61.717
2022,Male,173.0,61.717
2022,Male,175.0,61.75
2022,Male,176.0,61.767
